subset_percentage,fid,inception_score,avg_confidence,fid_score,experiment_type
50,24.88346952819812,2.6061602,0.6441065669059753,24.88346952819812,random
60,22.015860928578427,2.763569,0.6518089771270752,22.015860928578427,random
70,18.37953803489095,2.7245884,0.6241053938865662,18.37953803489095,random
80,12.856012941536141,2.8431022,0.6227845549583435,12.856012941536141,random
90,15.989949018150028,2.8234124,0.6508731245994568,15.989949018150028,random
100,12.434789328899154,2.8329968,0.6141485571861267,12.434789328899154,random
50,50.203025900945065,3.1356497,0.6520891785621643,50.203025900945065,n_easiest
60,31.73437389792044,3.0424073,0.660720705986023,31.73437389792044,n_easiest
70,21.47305087956193,3.0477605,0.6472288370132446,21.47305087956193,n_easiest
80,14.748242296054443,3.0261307,0.6573458313941956,14.748242296054443,n_easiest
90,18.783861933330964,2.7274628,0.6306794285774231,18.783861933330964,n_easiest
50,59.58135172930049,2.1628063,0.6188690066337585,59.58135172930049,n_hardest
60,52.96516546381178,2.2827537,0.628235399723053,52.96516546381178,n_hardest
70,34.381424069373466,2.508643,0.6422696113586426,34.381424069373466,n_hardest
80,26.951858284383754,2.6211007,0.6536843180656433,26.951858284383754,n_hardest
90,13.543170866834789,2.7952573,0.6232056021690369,13.543170866834789,n_hardest
50,25.345264634525037,2.6164176,0.6530925631523132,25.345264634525037,each_class_n_easiest
60,21.168621509812823,2.7212014,0.6398479342460632,21.168621509812823,each_class_n_easiest
70,21.134377380273428,2.695759,0.6173685193061829,21.134377380273428,each_class_n_easiest
80,13.801545649551512,2.8513522,0.6285998821258545,13.801545649551512,each_class_n_easiest
90,18.196554278935864,2.7969847,0.6468485593795776,18.196554278935864,each_class_n_easiest
