subset_percentage,fid,inception_score,avg_confidence,fid_score,experiment_type
50,151.66571140409707,7.8787913,0.9677507281303406,151.66571140409707,each_class_n_easiest
60,73.0083801216721,8.600152,0.9731729626655579,73.0083801216721,each_class_n_easiest
70,83.28925835240128,8.481619,0.969636082649231,83.28925835240128,each_class_n_easiest
80,57.573618026825756,8.792015,0.9741108417510986,57.573618026825756,each_class_n_easiest
90,88.84369182150107,8.333246,0.9669533967971802,88.84369182150107,each_class_n_easiest
50,107.15037705134728,8.168547,0.9479091167449951,107.15037705134728,random
60,104.78265300488415,8.204605,0.9466160535812378,104.78265300488415,random
70,80.39631659508144,8.308995,0.9516029357910156,80.39631659508144,random
80,81.24705730482574,8.436562,0.9557095170021057,81.24705730482574,random
90,64.10860005536387,8.625422,0.9588934779167175,64.10860005536387,random
100,77.03567932280806,8.371832,0.9593607783317566,77.03567932280806,random
50,253.81263892183222,7.0607877,0.9242865443229675,253.81263892183222,n_hardest
60,251.44877430394519,7.012893,0.9366415143013,251.44877430394519,n_hardest
70,228.6221933674568,7.1651545,0.9451867938041687,228.6221933674568,n_hardest
80,156.0519197560958,7.8367743,0.9536387324333191,156.0519197560958,n_hardest
90,129.7055918399878,7.9446564,0.9540652632713318,129.7055918399878,n_hardest
50,101.91232427985969,8.374394,0.9720661640167236,101.91232427985969,n_easiest
60,105.8462433704155,8.314316,0.9743017554283142,105.8462433704155,n_easiest
70,71.28393272776006,8.569885,0.9739954471588135,71.28393272776006,n_easiest
80,100.24176239306883,8.270149,0.9713985919952393,100.24176239306883,n_easiest
90,108.71254773827283,8.082036,0.9635623693466187,108.71254773827283,n_easiest
